# source: topology|BGP|20100129|routeviews2
# source: topology|BGP|20100129|Ripe NCC RCC12
# type    label
# ----    -----
#   -1    customer
#    0    peer
# format:as0 | as1 | type
10|16246|-1
24|10343|-1
26|33207|-1
32|71|-1
32|3671|-1
34|2|-1
35|5691|-1
42|715|-1
42|2905|-1
42|8763|-1
42|11686|-1
42|16668|-1
42|20640|0
42|29686|0
42|32978|-1
42|35160|-1
42|44876|-1
57|217|-1
57|1998|-1
57|6263|-1
57|7973|-1
57|8015|-1
57|8148|-1
57|15267|-1
57|15336|-1
57|17234|-1
57|21727|-1
57|21873|-1
57|21951|-1
57|25866|-1
57|26557|-1
57|30220|-1
57|32907|-1
57|33189|-1
57|33455|-1
57|33692|-1
57|36784|-1
57|40497|-1
64|5691|-1
71|4445|-1
71|9218|-1
71|10782|-1
71|12641|-1
71|13979|-1
71|15329|-1
71|19647|-1
80|1295|-1
80|3921|-1
80|14846|-1
80|19981|-1
81|6559|-1
81|11442|-1
81|11777|-1
81|13371|-1
81|14448|-1
81|17031|-1
81|18538|-1
81|19718|-1
81|20197|-1
81|22753|-1
81|22854|-1
81|27446|-1
81|27631|-1
81|29710|-1
81|32417|-1
81|33401|-1
81|36850|-1
81|40245|-1
81|46255|-1
81|46963|-1
81|53306|-1
88|40623|-1
101|73|-1
101|3130|-1
101|3401|-1
101|3428|-1
101|3807|-1
101|4193|-1
101|6182|-1
101|7774|-1
101|10430|-1
101|11808|-1
101|11956|-1
101|13476|-1
101|14077|-1
101|14221|-1
101|14262|-1
101|14954|-1
101|17200|-1
101|18856|-1
137|2597|-1
137|6882|-1
137|8978|-1
137|16004|-1
137|24869|-1
137|35110|-1
137|42165|-1
137|47630|-1
