# source: topology|BGP|20100129|routeviews2
# source: topology|BGP|20100129|Ripe NCC RCC12
# type    label
# ----    -----
#   -1    customer
#    0    peer
# format:as0 | as1 | type
10|16246|-1
24|10343|-1
26|33207|-1
32|71|-1
32|3671|-1
34|2|-1
35|5691|-1
42|715|-1
42|2905|-1
42|8763|-1
42|11686|-1
42|16668|-1
42|20640|0
42|29686|0
42|32978|-1
42|35160|-1
42|44876|-1
57|217|-1
57|1998|-1
57|6263|-1
57|7973|-1
57|8015|-1
57|8148|-1
57|15267|-1
57|15336|-1
57|17234|-1
57|21727|-1
57|21873|-1
57|21951|-1
57|25866|-1
57|26557|-1
57|30220|-1
57|32907|-1
57|33189|-1
57|33455|-1
57|33692|-1
57|36784|-1
57|40497|-1
64|5691|-1
71|4445|-1
71|9218|-1
71|10782|-1
71|12641|-1
71|13979|-1
71|15329|-1
71|19647|-1
80|1295|-1
80|3921|-1
80|14846|-1
80|19981|-1
81|6559|-1
81|11442|-1
81|11777|-1
81|13371|-1
81|14448|-1
81|17031|-1
81|18538|-1
81|19718|-1
81|20197|-1
81|22753|-1
81|22854|-1
81|27446|-1
81|27631|-1
81|29710|-1
81|32417|-1
81|33401|-1
81|36850|-1
81|40245|-1
81|46255|-1
81|46963|-1
81|53306|-1
88|40623|-1
101|73|-1
101|3130|-1
101|3401|-1
101|3428|-1
101|3807|-1
101|4193|-1
101|6182|-1
101|7774|-1
101|10430|-1
101|11808|-1
101|11956|-1
101|13476|-1
101|14077|-1
101|14221|-1
101|14262|-1
101|14954|-1
101|17200|-1
101|18856|-1
137|2597|-1
137|6882|-1
137|8978|-1
137|16004|-1
137|24869|-1
137|35110|-1
137|42165|-1
137|47630|-1
145|21633|-1
151|9798|-1
173|2511|-1
174|2|-1
174|3|-1
174|14|-1
174|26|-1
174|34|-1
174|46|-1
174|55|-1
174|57|-1
174|72|-1
174|98|-1
174|103|-1
174|137|-1
174|160|-1
174|166|-1
174|209|0
174|210|-1
174|239|-1
174|286|-1
174|293|-1
174|297|-1
174|376|-1
174|545|-1
174|549|-1
174|557|-1
174|577|-1
174|579|-1
174|607|-1
174|680|-1
174|701|0
174|766|-1
174|773|-1
174|786|-1
174|802|-1
174|812|-1
174|852|-1
174|855|-1
174|1126|-1
174|1200|-1
174|1201|-1
174|1214|-1
174|1239|0
174|1257|-1
174|1267|-1
174|1273|-1
174|1280|-1
174|1286|-1
174|1288|-1
174|1290|-1
174|1299|-1
174|1312|-1
174|1356|-1
174|1421|-1
174|1422|-1
174|1442|-1
174|1547|-1
174|1613|-1
174|1615|-1
174|1629|-1
174|1636|-1
174|1668|-1
174|1712|-1
174|1742|-1
174|1764|-1
174|1785|-1
174|1798|-1
174|1836|-1
174|1930|-1
174|1968|-1
174|2033|-1
174|2044|-1
174|2110|-1
174|2119|-1
174|2149|-1
174|2276|-1
174|2379|-1
174|2381|-1
174|2495|-1
174|2497|-1
174|2516|-1
174|2552|-1
174|2603|-1
174|2637|-1
174|2647|-1
174|2685|-1
174|2686|-1
174|2711|-1
174|2728|-1
174|2771|-1
174|2828|-1
174|2874|-1
174|2904|-1
174|2914|-1
174|3043|-1
174|3118|-1
174|3209|-1
174|3238|-1
174|3255|-1
174|3257|-1
174|3262|-1
174|3267|-1
174|3292|-1
174|3302|-1
174|3303|-1
174|3320|-1
174|3324|-1
174|3330|-1
174|3333|-1
174|3356|0
174|3450|-1
174|3479|-1
174|3491|-1
174|3549|0
174|3561|-1
174|3575|-1
174|3676|-1
174|3727|-1
174|3733|-1
174|3741|-1
174|3756|-1
174|3761|-1
174|3770|-1
174|3777|-1
174|3778|-1
174|3782|-1
174|3786|-1
174|3795|-1
174|3820|-1
174|3837|-1
174|3933|-1
174|3957|-1
174|3999|-1
174|4004|-1
174|4134|-1
174|4166|-1
174|4195|-1
174|4232|-1
174|4307|-1
174|4355|-1
174|4470|-1
174|4544|-1
174|4569|-1
174|4581|-1
174|4637|-1
174|4651|-1
174|4725|-1
174|4766|-1
174|4775|-1
174|4780|-1
174|4788|-1
174|4826|-1
174|4837|-1
174|4877|-1
174|4893|-1
174|4894|-1
174|4896|-1
174|4897|-1
174|4903|-1
174|4905|-1
174|4922|-1
174|4943|-1
174|4963|-1
174|4965|-1
174|5041|-1
174|5048|-1
174|5056|-1
174|5064|-1
174|5067|-1
174|5078|-1
174|5089|-1
174|5118|-1
174|5391|-1
174|5397|-1
174|5400|-1
174|5403|-1
174|5407|-1
174|5410|-1
174|5430|-1
174|5459|-1
174|5466|-1
174|5511|-1
174|5552|-1
174|5560|-1
174|5577|-1
174|5583|-1
174|5600|-1
174|5602|-1
174|5610|-1
174|5615|-1
174|5631|-1
174|5661|-1
174|5664|-1
174|5690|-1
174|5702|-1
174|5713|-1
174|5718|-1
174|5723|-1
174|5738|-1
174|5742|-1
174|5773|-1
174|6059|-1
174|6062|-1
174|6067|-1
174|6074|-1
174|6128|-1
174|6189|-1
174|6200|-1
174|6241|-1
174|6244|-1
174|6246|-1
174|6280|-1
174|6300|-1
174|6349|-1
174|6366|-1
174|6367|-1
174|6377|-1
174|6379|-1
174|6407|-1
174|6408|-1
174|6428|-1
174|6453|-1
174|6461|-1
174|6494|-1
174|6503|-1
174|6536|-1
174|6539|-1
174|6582|-1
174|6597|-1
174|6620|-1
174|6661|-1
174|6677|-1
174|6717|-1
174|6730|-1
174|6738|-1
174|6739|-1
174|6760|-1
174|6762|-1
174|6770|-1
174|6772|-1
174|6774|-1
174|6805|-1
174|6830|-1
174|6853|-1
174|6854|-1
174|6855|-1
174|6881|-1
174|6894|-1
174|6895|-1
174|6936|-1
174|6967|-1
174|6971|-1
174|7013|-1
174|7018|0
174|7078|-1
174|7093|-1
174|7132|-1
174|7143|-1
174|7148|-1
174|7151|-1
174|7221|-1
174|7238|-1
174|7260|-1
174|7271|-1
174|7297|-1
174|7303|-1
174|7328|-1
174|7350|-1
174|7386|-1
174|7403|-1
174|7419|-1
174|7423|-1
174|7473|-1
174|7500|-1
174|7575|-1
174|7767|-1
174|7782|-1
174|7796|-1
174|7819|-1
174|7843|-1
174|7868|-1
174|7877|-1
174|7902|-1
174|7908|-1
174|7921|-1
174|7922|-1
174|7941|-1
174|7985|-1
174|7992|-1
174|8010|-1
174|8015|-1
174|8029|-1
174|8047|-1
174|8068|-1
174|8075|-1
174|8077|-1
174|8079|-1
174|8097|-1
174|8111|-1
174|8117|-1
174|8148|-1
174|8149|-1
174|8167|-1
174|8201|-1
174|8224|-1
174|8237|-1
174|8247|-1
174|8265|-1
174|8266|-1
174|8271|-1
174|8304|-1
174|8309|-1
174|8311|-1
174|8318|-1
174|8359|-1
174|8368|-1
174|8391|-1
174|8400|-1
174|8401|-1
174|8402|-1
174|8412|-1
174|8452|-1
174|8476|-1
174|8487|-1
174|8514|-1
174|8527|-1
174|8530|-1
174|8544|-1
174|8560|-1
174|8561|-1
174|8565|-1
174|8591|-1
174|8596|-1
174|8608|-1
174|8657|-1
174|8669|-1
174|8689|-1
174|8708|-1
174|8723|-1
174|8728|-1
174|8732|-1
174|8751|-1
174|8763|-1
174|8778|-1
174|8787|-1
174|8805|-1
174|8816|-1
174|8839|-1
174|8851|-1
174|8871|-1
174|8881|-1
174|8902|-1
174|8903|-1
174|8912|-1
174|8921|-1
174|8922|-1
174|8953|-1
174|8966|-1
174|8972|-1
174|8999|-1
174|9052|-1
174|9070|-1
174|9075|-1
174|9092|-1
174|9127|-1
174|9142|-1
174|9143|-1
174|9145|-1
174|9165|-1
174|9167|-1
174|9186|-1
174|9191|-1
174|9246|-1
174|9416|-1
174|9505|-1
174|9680|-1
174|10026|-1
174|10240|-1
174|10242|-1
174|10264|-1
174|10265|-1
174|10279|-1
174|10282|-1
174|10297|-1
174|10298|-1
174|10310|-1
174|10326|-1
174|10355|-1
174|10400|-1
174|10439|-1
174|10448|-1
174|10466|-1
174|10490|-1
174|10561|-1
174|10566|-1
174|10607|-1
174|10653|-1
174|10655|-1
174|10661|-1
174|10674|-1
174|10692|-1
174|10708|-1
174|10738|-1
174|10790|-1
174|10808|-1
174|10823|-1
174|10835|-1
174|10849|-1
174|10886|-1
174|10912|-1
174|10913|-1
174|10949|-1
174|10961|-1
174|10970|-1
174|10980|-1
174|10993|-1
174|11005|-1
174|11010|-1
174|11036|-1
174|11039|-1
174|11055|-1
174|11057|-1
174|11059|-1
174|11077|-1
174|11088|-1
174|11092|-1
174|11096|-1
174|11114|-1
174|11154|-1
174|11160|-1
174|11164|-1
174|11168|-1
174|11186|-1
174|11190|-1
174|11218|-1
174|11221|-1
174|11233|-1
174|11240|-1
174|11251|-1
174|11264|-1
174|11318|-1
174|11331|-1
174|11342|-1
174|11358|-1
174|11361|-1
174|11382|-1
174|11383|-1
174|11393|-1
174|11396|-1
174|11398|-1
174|11403|-1
174|11404|-1
174|11417|-1
174|11430|-1
174|11452|-1
174|11457|-1
174|11478|-1
174|11482|-1
174|11488|-1
174|11500|-1
174|11504|-1
174|11513|-1
174|11522|-1
174|11524|-1
174|11545|-1
174|11550|-1
174|11551|-1
174|11590|-1
174|11605|-1
174|11624|-1
174|11636|-1
174|11640|-1
174|11647|-1
174|11686|-1
174|11691|-1
174|11700|-1
174|11703|-1
174|11715|-1
174|11720|-1
174|11745|-1
174|11755|-1
174|11765|-1
174|11766|-1
174|11783|-1
174|11814|-1
174|11817|-1
174|11820|-1
174|11825|-1
174|11832|-1
174|11834|-1
174|11837|-1
174|11852|-1
174|11854|-1
174|11872|-1
174|11879|-1
174|11884|-1
174|11888|-1
174|11914|-1
174|11928|-1
174|11939|-1
174|11941|-1
174|11943|-1
174|11963|-1
174|11967|-1
174|11975|-1
174|11981|-1
174|11982|-1
174|11992|-1
174|12021|-1
174|12028|-1
174|12038|-1
174|12042|-1
174|12044|-1
174|12074|-1
174|12080|-1
174|12093|-1
174|12111|-1
174|12129|-1
174|12130|-1
174|12142|-1
174|12157|-1
174|12173|-1
174|12179|-1
174|12180|-1
174|12182|-1
174|12188|-1
174|12196|-1
174|12200|-1
174|12208|-1
174|12214|-1
174|12238|-1
174|12260|-1
174|12267|-1
174|12284|-1
174|12293|-1
174|12305|-1
174|12321|-1
174|12322|-1
174|12333|-1
174|12334|-1
174|12338|-1
174|12347|-1
174|12355|-1
174|12362|-1
174|12387|-1
174|12388|-1
174|12409|-1
174|12470|-1
174|12479|-1
174|12488|-1
174|12512|-1
174|12518|-1
174|12521|-1
174|12533|-1
174|12542|-1
174|12565|-1
174|12614|-1
174|12615|-1
174|12637|-1
174|12676|-1
174|12695|-1
174|12713|-1
174|12715|-1
174|12727|-1
174|12732|-1
174|12735|-1
174|12773|-1
174|12778|-1
174|12804|-1
174|12822|-1
174|12826|-1
174|12845|-1
174|12855|-1
174|12860|-1
174|12874|-1
174|12883|-1
174|12910|-1
174|12926|-1
174|12946|-1
174|12956|-1
174|12961|-1
174|12969|-1
174|13001|-1
174|13009|-1
174|13036|-1
174|13039|-1
174|13046|-1
174|13049|-1
174|13127|-1
174|13188|-1
174|13222|-1
174|13226|-1
174|13249|-1
174|13273|-1
174|13276|-1
174|13287|-1
174|13319|-1
174|13326|-1
174|13331|-1
174|13332|-1
174|13333|-1
174|13345|-1
174|13354|-1
174|13356|-1
174|13360|-1
174|13372|-1
174|13389|-1
174|13409|-1
174|13431|-1
174|13437|-1
174|13441|-1
174|13443|-1
174|13446|-1
174|13448|-1
174|13464|-1
174|13486|-1
174|13490|-1
174|13517|-1
174|13536|-1
174|13570|-1
174|13576|-1
174|13582|-1
174|13618|-1
174|13619|-1
174|13621|-1
174|13660|-1
174|13692|-1
174|13696|-1
174|13703|-1
174|13707|-1
174|13711|-1
174|13734|-1
174|13768|-1
174|13789|-1
174|13794|-1
174|13802|-1
174|13818|-1
174|13821|-1
174|13826|-1
174|13832|-1
174|13849|-1
174|13853|-1
174|13857|-1
174|13862|-1
174|13868|-1
174|13871|-1
174|13873|-1
174|13949|-1
174|13951|-1
174|13956|-1
174|13971|-1
174|13992|-1
174|14006|-1
174|14015|-1
174|14025|-1
174|14075|-1
174|14093|-1
174|14123|-1
174|14133|-1
174|14148|-1
174|14150|-1
174|14166|-1
174|14178|-1
174|14203|-1
174|14205|-1
174|14218|-1
174|14230|-1
174|14238|-1
174|14313|-1
174|14325|-1
174|14327|-1
174|14341|-1
174|14360|-1
174|14366|-1
174|14383|-1
174|14387|-1
